2025-05-26 02:57:22,54,8,7,5
2025-05-26 03:34:48,58,9,3,8
2025-05-26 03:43:43,56,8,6,6
2025-05-26 03:47:07,68,5,6,9
2025-05-26 03:53:57,56,9,4,7
2025-05-26 04:11:43,62,6,7,7
2025-05-26 04:13:00,64,3,12,5
2025-05-26 04:16:02,56,7,8,5
2025-05-26 04:45:17,21,1,0,4
2025-05-26 04:50:36,15,1,3,1
2025-05-26 04:55:06,7,4,1,0
2025-05-26 04:55:07,15,1,3,1
2025-05-26 04:58:57,13,2,2,1
2025-05-26 05:02:12,13,2,2,1
2025-05-26 05:24:10,9,3,2,0
2025-05-26 05:24:26,13,2,2,1
2025-05-26 05:36:53,13,2,2,1
2025-05-26 05:42:05,19,1,1,3
2025-05-26 05:43:04,21,0,2,3
2025-05-26 05:52:25,13,5,2,2,1
2025-05-26 05:53:07,15,5,1,3,1
2025-05-26 05:53:36,13,5,2,2,1
2025-05-26 06:26:22,13,5,2,2,1
2025-05-26 06:29:12,17,5,1,2,2
2025-05-26 06:29:50,21,5,0,2,3
2025-05-26 06:31:47,11,5,3,1,1
2025-05-26 06:32:07,17,5,1,2,2
2025-05-26 06:32:10,15,5,2,1,2
2025-05-26 06:37:02,9,5,3,2,0
2025-05-26 06:37:51,9,5,3,2,0
2025-05-26 06:38:09,15,5,2,1,2
2025-05-26 06:38:31,7,5,4,1,0
2025-05-26 06:40:52,23,5,0,1,4
2025-05-26 06:40:53,19,5,1,1,3
2025-05-26 06:41:19,15,5,1,3,1
2025-05-26 06:41:21,19,5,1,1,3
2025-05-26 06:41:38,13,5,3,0,2
2025-05-26 06:42:18,15,5,1,3,1
2025-05-26 06:53:48,19,5,1,1,3
2025-06-03 23:18:31,13,5,1,4,0
2025-06-03 23:18:33,15,5,1,3,1
2025-06-03 23:55:41,11,5,3,1,1
2025-06-04 00:01:49,9,5,3,2,0
2025-06-04 00:02:09,3,3,3,0,0
2025-06-04 00:02:22,11,5,3,1,1
2025-06-04 00:02:40,10,4,1,3,0
2025-06-04 00:02:54,10,2,0,0,2
2025-06-04 00:33:27,62,16,3,3,10
2025-06-04 00:57:07,85,27,8,9,10
2025-06-04 01:07:41,59,13,0,3,10
2025-06-04 01:27:52,55,13,2,1,10
2025-06-04 01:30:40,6,4,3,1,0
2025-06-04 01:43:23,36,10,3,1,6
2025-06-04 13:57:15,50,14,3,4,7
2025-06-04 14:32:39,11,3,1,0,2
2025-06-04 14:40:47,71,19,3,6,10
2025-06-04 14:53:19,148,46,10,21,15
2025-06-04 15:04:14,15,5,1,3,1
2025-06-04 15:04:33,23,7,1,4,2
2025-06-04 15:09:49,19,5,0,3,2
2025-06-04 15:11:11,78,20,1,9,10
2025-06-04 15:14:58,23,9,4,3,2
2025-06-04 15:15:08,10,4,1,3,0
2025-06-04 20:54:53,14,6,3,2,1
